agg_id,treat,prop_score,fu_survey_year,hhinc_yrly_end,profits_yrly_end,rev_yrly_end,exp_yrly_end,hhexp_yrly_end,loan_size,prinpaid,interest_rate,repaytime,intpaid,penalty,paid_total,net_revenue,css_creditscorefinal,css_yearsataddress,own_house,sari,own_anybus,max_yearsinbusiness,css_regularworkers,css_traveltime,css_travelcost,css_stockvalue,css_assetvalue,css_noofbusiness,lower_window,app_year,hhsize,age,gender,education,married,savingsamt,hhinc_yrly_base,profits_yrly_base,rev_yrly_base,exp_yrly_base,hhexp_yrly_base,hhasset_yrly_base,revenue_fees,revenue_interest,log_hhinc,default_value,high_school,college,bank_profits_level,bank_profits_pp
100519,1,0.8434873949579832,2007,15750,15750,21750,29475,3000,0,NA,NA,1,NA,NA,NA,0,48,44,1,1,1,5,0,10,30,25000,140800,3,0,2006,1,44,1,1,0,0,21443.75,128662.5,224018.75,95356.25,3390,1562.5,0,0,9.664659134301736,-0,1,1,0,0
101793,1,0.546583850931677,2008,66990,66990,78750,11760,4500,0,NA,NA,1,NA,NA,NA,0,42,4,1,0,1,4,0,5,12,150000,0,1,1,2006,1,46,0,2,1,0,57031.25,342187.5,342187.5,0,2325,1000,0,0,11.112313560992032,-0,1,0,0,0
102790,1,0.8434873949579832,2007,9450,9450,11250,1800,11250,625,10000,30,1,758.29,0,10758.29,47.39312500000006,60,15,1,1,1,15,0,20,24,17000,24000,2,0,2006,5,36,1,2,1,0,10950,65700,123187.5,57487.5,2137.5,14012.5,0.6465496575343082,46.74657534246575,9.153875834995056,-0,1,0,-16.938263570336346,1.0677396633170702
103223,1,0.8434873949579832,2007,29025,29025,30000,975,10500,0,NA,NA,1,NA,NA,NA,0,52,39,1,1,1,10,0,10,0,13800,11000,2,0,2006,4,39,0,1,1,0,21907.604166666668,131445.625,250549.6875,119104.0625,1050,2125,0,0,10.275947259030309,-0,1,1,0,0
104470,1,0.8434873949579832,2007,3750,3750,7500,9000,5812.5,0,NA,NA,1,NA,NA,NA,0,54,39,1,1,1,4,0,10,24,15000,25000,1,0,2006,3,39,1,1,1,0,5703.125,34218.75,48362.5,14143.75,2756.25,2875,0,0,8.229777750081887,-0,1,1,0,0
105906,1,0.8434873949579832,2007,0,0,0,0,11250,625,10000,30,1,758.29,0,10758.29,47.39312500000006,56,15,1,0,1,4,4,20,0,5000,15000,3,0,2006,6,38,1,1,1,0,23572.916666666668,141437.5,234284.375,92846.875,8421,7875,0.6465496575343082,46.74657534246575,0,-0,1,1,-16.938263570336346,1.0677396633170702
111752,1,0.8434873949579832,2007,7500,7500,11250,19200,3750,562.5,9000,30,1,682.5,0,9682.5,42.65625,46,5,0,0,0,3,0,20,0,70000,7000,2,0,2006,4,37,1,1,1,0,22812.5,136875,247287.5,110412.5,1912.5,1312.5,0.5843321917808098,42.07191780821919,8.922791623969637,-0,1,1,-18.3626385703364,-2.6118270033496067
118073,1,0.8434873949579832,2008,6705,6705,18600,11895,8137.5,0,NA,NA,1,NA,NA,NA,0,50,10,1,1,0,10,0,3,0,20000,5500,1,0,2006,5,45,1,1,1,0,24930.260416666668,149581.5625,264488.125,114906.5625,1200,3290.625,0,0,8.810757927026174,-0,1,1,0,0
121789,0,0.546583850931677,2008,11625,11625,39300,29565,3375,0,NA,NA,1,NA,NA,NA,0,40,5,1,0,1,1,0,15,14,150000,20000,1,1,2007,4,34,0,1,1,0,19010.416666666668,114062.5,114062.5,0,3525,875,0,0,9.360999248261296,-0,1,1,0,0
123536,1,0.8434873949579832,2007,3750,3750,34875,9847.5,5812.5,312.5,5000,30,1,379.21,0,5379.21,23.700625,50,18,1,1,1,15,0,44,58,15000,20000,3,0,2006,5,41,1,2,1,0,11596.354166666666,69578.125,122959.375,53381.25,1380,1750,0.32733732876712196,23.373287671232877,8.229777750081887,-0,1,0,-24.0682635703364,-32.050960336682934
124241,1,0.8434873949579832,2007,9225,9225,23250,14025,9300,875,14000,30,1,1061.71,0,15061.71,66.356875,60,7,1,0,1,11,6,5,10,55000,100000,2,0,2006,4,43,0,1,1,0,160607.60416666666,963645.625,1317239.375,353593.75,9300,1937.5,0.9116695205481307,65.44520547945187,9.129780864117766,-0,1,1,-11.224513570336399,10.531339663317059
125786,0,0.546583850931677,2007,6750,6750,14250,5250,3375,0,NA,NA,1,NA,NA,NA,0,43,58,1,1,1,20,0,1,0,3000,15000,1,1,2006,1,58,1,1,0,0,3802.0833333333335,22812.5,34218.75,11406.25,3768.75,1625,0,0,8.81744592104187,-0,1,1,0,0
126688,0,0.8434873949579832,2007,9375,9375,46875,38797.5,11250,0,NA,NA,1,NA,NA,NA,0,51,46,1,1,1,14,0,10,12,30000,50000,1,0,2006,6,53,0,1,1,0,9505.208333333334,57031.25,98093.75,41062.5,7462.5,5312.5,0,0,9.145908511816794,-0,1,1,0,0
129723,1,0.546583850931677,2008,104400,104400,225000,120600,4500,0,NA,NA,1,NA,NA,NA,0,38,11,0,1,0,11,0,10,14,30000,136000,1,1,2007,4,34,1,2,1,0,21725.104166666668,130350.625,234626.5625,104275.9375,5400,750,0,0,11.555994532928862,-0,1,0,0,0
